number,name,status
687,Isolating modules in the standard library,Standards Track
690,Lazy Imports,Rejected
682,Format Specifier for Signed Zero,Standards Track
684,A Per-Interpreter GIL,Standards Track
683,"Immortal Objects, Using a Fixed Refcount",Standards Track
688,Making the buffer protocol accessible in Python,Standards Track
680,tomllib: Support for Parsing TOML in the Standard Library,Final
681,Data Class Transforms,Final
679,Allow parentheses in assert statements,Standards Track
685,Comparison of extra names for optional distribution dependencies,Accepted
676,PEP Infrastructure Process,Process
678,Enriching Exceptions with Notes,Final
674,Disallow using macros as l-values,Deferred
672,Unicode-related Security Considerations for Python,Active
671,Syntax for late-bound function argument defaults,Standards Track
670,Convert macros to functions in the Python C API,Final
666,Reject Foolish Indentation,Rejected
675,Arbitrary Literal String Type,Final
664,Python 3.11 Release Schedule,Active
667,Consistent views of namespaces,Standards Track
673,Self Type,Final
663,"Standardizing Enum str(), repr(), and format() behaviors",Informational
669,Low Impact Monitoring for CPython,Standards Track
677,Callable Type Syntax,Rejected
662,Editable installs via virtual wheels,Rejected
661,Sentinel Values,Standards Track
658,Serve Distribution Metadata in the Simple Repository API,Standards Track
659,Specializing Adaptive Interpreter,Draft
665,A file format to list Python dependencies for reproducibility of an application,Rejected
656,Platform Tag for Linux Distributions Using Musl,Standards Track
655,Marking individual TypedDict items as required or potentially-missing,Final
657,Include Fine Grained Error Locations in Tracebacks,Standards Track
651,Robust Stack Overflow Handling,Rejected
653,Precise Semantics for Pattern Matching,Draft
660,Editable installs for pyproject.toml based builds (wheel based),Final
647,User-Defined Type Guards,Final
652,Maintaining the Stable ABI,Standards Track
650,Specifying Installer Requirements for Python Projects,Standards Track
648,Extensible customizations of the interpreter at startup,Rejected
654,Exception Groups and except*,Standards Track
645,Allow writing optional types as ,Standards Track
643,Metadata for Package Source Distributions,Final
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
640,Unused variable syntax,Rejected
644,Require OpenSSL 1.1.1 or newer,Standards Track
639,Improving License Clarity with Better Package Metadata,Draft
646,Variadic Generics,Standards Track
649,Deferred Evaluation Of Annotations Using Descriptors,Standards Track
638,Syntactic Macros,Standards Track
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
668,Marking Python base environments as “externally managed”,Accepted
634,Structural Pattern Matching: Specification,Final
636,Structural Pattern Matching: Tutorial,Informational
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
632,Deprecate distutils module,Standards Track
629,Versioning PyPI’s Simple API,Final
637,Support for indexing with keyword arguments,Rejected
635,Structural Pattern Matching: Motivation and Rationale,Final
628,Add ,Final
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
627,Recording installed projects,Final
624,Remove Py_UNICODE encoder APIs,Final
625,Filename of a Source Distribution,Accepted
630,Isolating Extension Modules,Informational
623,Remove wstr from Unicode,Final
626,Precise line numbers for debugging and other tools.,Standards Track
619,Python 3.10 Release Schedule,Active
618,Add Optional Length-Checking To zip,Final
614,Relaxing Grammar Restrictions On Decorators,Standards Track
616,String methods to remove prefixes and suffixes,Standards Track
620,Hide implementation details from the C API,Withdrawn
613,Explicit Type Aliases,Final
617,New PEG parser for CPython,Standards Track
621,Storing project metadata in pyproject.toml,Standards Track
612,Parameter Specification Variables,Standards Track
609,Python Packaging Authority (PyPA) Governance,Active
608,Coordinated Python release,Rejected
615,Support for the IANA Time Zone Database in the Standard Library,Standards Track
611,The one million limit,Withdrawn
610,Recording the Direct URL Origin of installed distributions,Standards Track
607,Reducing CPython’s Feature Delivery Latency,Informational
606,Python Compatibility Version,Rejected
604,Allow writing union types as ,Standards Track
599,The manylinux2014 Platform Tag,Informational
601,Forbid return/break/continue breaking out of finally,Rejected
603,Adding a frozenmap type to collections,Standards Track
602,Annual Release Cycle for Python,Active
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Standards Track
622,Structural Pattern Matching,Superseded
597,Add optional EncodingWarning,Final
596,Python 3.9 Release Schedule,Informational
595,Improving bugs.python.org,Informational
598,Introducing incremental feature releases,Informational
591,Adding a final qualifier to typing,Final
593,Flexible function and variable annotations,Final
594,Removing dead batteries from the standard library,Standards Track
